#OTUID	TJPBXD03C04B1I	TJPBXD03C04B2I	TJPBXD03C16B1I	TJPBXD03C16B2I	TJPBXD03C21B1I	TJPBXD03C21B2I	TJPBXD03C25B1I	TJPBXD03C25B2I	TJPBXD03C35B1I	TJPBXD03C35B2I	TJPBXD03C47B1I	TJPBXD03C47B2I	TJPBXD03C54B1I	TJPBXD03C54B2I	TJPBXD03C58B1I	TJPBXD03C58B2I	TJPBXD06C04B1I	TJPBXD06C04B2I	TJPBXD06C16B1I	TJPBXD06C21B1I	TJPBXD06C21B2I	TJPBXD06C25B1I	TJPBXD06C25B2I	TJPBXD06C35B1I	TJPBXD06C35B2I	TJPBXD06C47B1I	TJPBXD06C47B2I	TJPBXD06C54B1I	TJPBXD06C54B2I	TJPBXD06C58B1I	TJPBXD06C58B2I	TJPBXD13C04B1I	TJPBXD13C04B2I	TJPBXD13C16B1I	TJPBXD13C16B2I	TJPBXD13C21B1I	TJPBXD13C21B2I	TJPBXD13C25B1I	TJPBXD13C35B1I	TJPBXD13C35B2I	TJPBXD13C47B1I	TJPBXD13C47B2I	TJPBXD13C54B1I	TJPBXD13C54B2I	TJPBXD13C58B1I	TJPBXD13C58B2I	TJPBXD03C03B2I	TJPBXD03C08B1I	TJPBXD03C08B2I	TJPBXD03C17B1I	TJPBXD03C17B2I	TJPBXD03C27B1I	TJPBXD03C27B2I	TJPBXD03C33B1I	TJPBXD03C33B2I	TJPBXD03C43B2I	TJPBXD03C56B1I	TJPBXD03C56B2I	TJPBXD03C62B2I	TJPBXD06C03B1I	TJPBXD06C03B2I	TJPBXD06C08B2I	TJPBXD06C17B2I	TJPBXD06C27B1I	TJPBXD06C27B2I	TJPBXD06C33B1I	TJPBXD06C43B2I	TJPBXD06C56B1I	TJPBXD06C56B2I	TJPBXD06C62B1I	TJPBXD06C62B2I	TJPBXD13C03B1I	TJPBXD13C03B2I	TJPBXD13C08B1I	TJPBXD13C08B2I	TJPBXD13C17B1I	TJPBXD13C17B2I	TJPBXD13C27B1I	TJPBXD13C27B2I	TJPBXD13C33B1I	TJPBXD13C33B2I	TJPBXD13C43B1I	TJPBXD13C43B2I	TJPBXD13C56B1I	TJPBXD13C56B2I	TJPBXD13C62B1I	TJPBXD13C62B2I	TJPBXD03C06B1I	TJPBXD03C06B2I	TJPBXD03C14B1I	TJPBXD03C14B2I	TJPBXD03C22B1I	TJPBXD03C22B2I	TJPBXD03C32B1I	TJPBXD03C32B2I	TJPBXD03C41B1I	TJPBXD03C41B2I	TJPBXD03C48B1I	TJPBXD03C48B2I	TJPBXD03C51B1I	TJPBXD03C51B2I	TJPBXD03C57B1I	TJPBXD03C57B2I	TJPBXD06C06B1I	TJPBXD06C06B2I	TJPBXD06C14B1I	TJPBXD06C14B2I	TJPBXD06C22B2I	TJPBXD06C32B1I	TJPBXD06C32B2I	TJPBXD06C41B1I	TJPBXD06C41B2I	TJPBXD06C48B1I	TJPBXD06C48B2I	TJPBXD06C51B1I	TJPBXD06C51B2I	TJPBXD06C57B1I	TJPBXD06C57B2I	TJPBXD13C06B1I	TJPBXD13C06B2I	TJPBXD13C14B1I	TJPBXD13C14B2I	TJPBXD13C22B1I	TJPBXD13C22B2I	TJPBXD13C32B1I	TJPBXD13C32B2I	TJPBXD13C41B1I	TJPBXD13C41B2I	TJPBXD13C48B1I	TJPBXD13C48B2I	TJPBXD13C51B1I	TJPBXD13C51B2I	TJPBXD13C57B1I	TJPBXD13C57B2I	TJPBXD03C01B1I	TJPBXD03C11B2I	TJPBXD03C24B2I	TJPBXD03C30B1I	TJPBXD03C30B2I	TJPBXD03C46B2I	TJPBXD03C49B1I	TJPBXD03C49B2I	TJPBXD03C59B1I	TJPBXD03C59B2I	TJPBXD06C01B2I	TJPBXD06C11B1I	TJPBXD06C11B2I	TJPBXD06C24B1I	TJPBXD06C24B2I	TJPBXD06C30B1I	TJPBXD06C30B2I	TJPBXD06C40B1I	TJPBXD06C40B2I	TJPBXD06C46B1I	TJPBXD06C46B2I	TJPBXD06C49B1I	TJPBXD06C59B1I	TJPBXD06C59B2I	TJPBXD13C01B1I	TJPBXD13C01B2I	TJPBXD13C11B1I	TJPBXD13C11B2I	TJPBXD13C24B1I	TJPBXD13C24B2I	TJPBXD13C30B1I	TJPBXD13C30B2I	TJPBXD13C40B1I	TJPBXD13C40B2I	TJPBXD13C46B1I	TJPBXD13C46B2I	TJPBXD13C49B1I	TJPBXD13C49B2I	TJPBXD13C59B1I	TJPBXD13C59B2I	TJPBXD03C05B1I	TJPBXD03C05B2I	TJPBXD03C09B1I	TJPBXD03C09B2I	TJPBXD03C19B1I	TJPBXD03C19B2I	TJPBXD03C31B1I	TJPBXD03C31B2I	TJPBXD03C38B1I	TJPBXD03C38B2I	TJPBXD03C42B1I	TJPBXD03C42B2I	TJPBXD03C52B1I	TJPBXD03C64B1I	TJPBXD03C64B2I	TJPBXD06C05B1I	TJPBXD06C05B2I	TJPBXD06C09B1I	TJPBXD06C09B2I	TJPBXD06C19B1I	TJPBXD06C19B2I	TJPBXD06C31B1I	TJPBXD06C31B2I	TJPBXD06C38B1I	TJPBXD06C38B2I	TJPBXD06C42B1I	TJPBXD06C42B2I	TJPBXD06C52B1I	TJPBXD06C52B2I	TJPBXD06C64B1I	TJPBXD06C64B2I	TJPBXD13C05B1I	TJPBXD13C05B2I	TJPBXD13C09B1I	TJPBXD13C09B2I	TJPBXD13C19B1I	TJPBXD13C19B2I	TJPBXD13C31B1I	TJPBXD13C31B2I	TJPBXD13C38B1I	TJPBXD13C38B2I	TJPBXD13C42B1I	TJPBXD13C42B2I	TJPBXD13C52B1I	TJPBXD13C52B2I	TJPBXD13C64B1I	TJPBXD13C64B2I
SH190191.07FU_UDB011478_refs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH215392.07FU_GU721438_reps	1429	0	2586	0	0	0	0	3818	0	0	0	0	0	0	1365	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1629	0	0	0	0	0	0	0	0	0	0	0	0	1779	0	1429	0	0	0	0	0	0	0	0	0	0	0	0	0	794	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1546	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0
SH213620.07FU_AB587010_refs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	353	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1191	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	914	0	0	0	0	0	0	0	1603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	227	0	0	710	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH213623.07FU_JX827459_reps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH212824.07FU_AF444417_refs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH195612.07FU_HQ914940_reps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH200569.07FU_KC506308_reps	0	0	0	0	0	0	0	0	132	0	0	0	0	0	341	391	0	0	0	224	0	0	0	0	258	0	0	353	128	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	45	0	0	0	0	0	0	0	0	0	0	0	223	0	0	527	0	560	0	0	294	0	0	0	0	304	0	0	33	0	0	204	0	0	0	714	0	0	0	0	0	0	0	412	0	0	0	0	0	0	1099	0	0	877	0	0	0	0	0	0	0	0	0	0	0	72	0	328	0	355	0	0	0	0	0	0	122	0	0	0	0	35	67	0	0	73	0	0	0	1905	0	0	0	0	0	727	0	0	472	361	0	0	0	0	0	0	162	286	0	0	0	178	0	0	0	0	0	0	0	0	30	588	0	0	0	0	0	0	1115	370	0	186	0	0	204	0	0	0	0	235	0	0	0	0	0	0	0	47	0	136	0	0	25	0	0	0	0	0	337	245	0	0	0	0	0	0	158	0	0	282	0	0	0
SH200572.07FU_JN564480_reps	0	1181	0	822	0	312	6806	0	3557	1635	0	0	0	2421	5802	10959	190	0	0	7015	76	415	0	256	13092	0	5712	6007	4106	0	5519	0	0	0	3540	0	47	0	0	0	0	0	0	0	0	612	3191	0	5415	4665	6734	0	0	0	13889	0	10606	2175	7639	1031	8018	0	13390	13608	1770	12885	0	0	10872	0	0	0	0	3753	0	0	1108	3672	1521	10387	0	142	0	21667	0	0	0	1581	0	286	0	10768	0	0	2163	0	6957	3791	17582	5556	0	8772	201	0	8032	5263	851	0	14286	0	0	0	0	5347	5751	11803	0	12057	5811	5614	3347	2725	0	49	8913	0	0	0	600	9583	9085	1948	0	9927	0	1163	0	11429	0	5263	0	0	9274	10909	9794	0	10377	28279	3682	1548	0	0	3406	7261	11327	18143	16259	4561	0	13414	1007	182	2878	0	1035	0	0	0	5155	5000	0	0	6855	2148	493	0	18631	5926	1511	4041	6013	0	4073	0	9434	0	1961	5882	0	1316	1802	0	1374	0	0	4346	0	1255	307	0	2127	0	0	0	0	0	5169	7774	0	0	1355	0	2007	0	14669	0	3774	16384	4994	0	0
SH198034.07FU_JX156358_reps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6579	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH200660.07FU_EU568917_refs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
